Geo. Code,Inc. Group Code,Country,VATR,VATGCR,VATPROD,THRESHOLD,VATYEAR,CITR,CITPROD,PITMINR,PITMAXR,PITMAXL,PITMINL,PITPROD,SSR,WEDGE,VATY,CITY,PITY,TAXY ,COST,FUNCTION,SARA,LTU,CUSTOMS,CERTIFICATION,TAXSTAFF,PAYERTO STAFF,HYDRO-CARBON,PCGDP,AG,IMPORTS,PCONS,
6,1,Somalia,14.0,N/A,N/A,N/A,2009,N/A, N/A ,N/A,N/A,N/A, N/A ,N/A,N/A,N/A, N/A , N/A , N/A , N/A ,N/A,N/A,0,N/A,0,0,N/A,N/A,0,N/A, N/A , N/A , 56.5 ,
6,3,South Africa,14.0,103.2,0.61,138288,1991,28.0, 0.20 ,18.0,40.0,6.92, 0.00 ,0.21,2.00,2.00, 8.58 , 5.70 , 8.57 , 25.43 ,0.80,1,1,1,1,1,0.31,964.9,0,11029 , 2.4 , 29.4 , 59.4 ,
7,4,Spain,18.0,50.5,0.29,0,1986,30.0, 0.06 ,24.0,43.0,2.44, 0.00 ,0.21,37.33,37.33, 5.30 , 1.80 , 9.20 , 19.75 ,0.86,1,1,1,1,1,0.58,815.9,0,30478 , 2.7 , 31.1 , 58.3 ,
5,2,Sri Lanka,12.0,39.3,0.27,108777,1998,35.0, 0.04 ,5.0,35.0,N/A, 0.00 ,N/A,20.00,20.00, 3.29 , 1.51 , 0.38 , 12.42 ,0.41,1,0,1,0,1,0.11,279.2,0,5676 , 12.1 , 37.6 , 69.8 ,
3,3,St. Kitts and Nevis,17.0,68.0,0.5,N/A,N/A,35.0, 0.06 ,N/A,N/A,N/A, N/A ,N/A,11.00,11.00, 8.00 , 2.00 , 2.60 , 21.25 ,0.78,1,0,N/A,0,0,0.96,N/A,0,16416 , 1.8 , 45.2 , 69.2 ,
3,3,St. Lucia,5.0,131.2,0.9,35328,N/A,33.3, 0.09 ,10.0,30.0,0.86, 0.47 ,0.15,10.00,14.71, 4.64 , 3.10 , 3.44 , 23.37 ,N/A,0,0,0,0,1,N/A,N/A,0,13011 , 3.3 , 65.4 , 70.7 ,
3,3,St. Vincent and the Grenadines,15.0,54.1,0.47,46064,2007,33.3, 0.06 ,10.0,30.0,1.46, 0.00 ,0.12,8.50,8.50, 7.09 , 2.03 , 3.61 , 22.07 ,N/A,N/A,0,N/A,0,0,N/A,N/A,0,11522 , 6.4 , 56.2 , 87.4 ,
6,1,Sudan,10.0,N/A,N/A,53706,2000,35.0, N/A ,5.0,15.0,N/A, N/A ,N/A,27.00,27.00, N/A , N/A , N/A , 6.41 ,N/A,N/A,0,N/A,N/A,0,N/A,N/A,1,2683 , 24.5 , 16.3 , 65.1 ,
3,2,Suriname,10.0,55.1,0.39,N/A,N/A,36.0, 0.13 ,8.0,38.0,0.87, 0.07 ,0.08,N/A,N/A, 3.86 , 4.56 , 2.77 , 18.96 ,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,11815 , 9.7 , N/A , 70.0 ,
6,2,Swaziland,14.0,42.7,0.36,N/A,2009,30.0, 0.10 ,20.0,33.0,2.39, 0.00 ,0.29,10.00,10.00, 5.00 , 2.90 , 9.70 , 22.97 ,N/A,1,0,N/A,0,1,N/A,N/A,0,5835 , 7.2 , 72.5 , 83.7 ,
7,4,Sweden,25.0,79.6,0.38,13873,1969,26.3, 0.13 ,31.0,57.8,2.10, 0.00 ,0.26,30.43,30.43, 9.50 , 3.40 , 15.30 , 37.14 ,0.40,1,1,1,0,1,1.05,886.9,0,40229 , 1.8 , 43.7 , 47.8 ,
7,4,Switzerland,8.0,78.4,0.45,112765,2009,8.5, 0.34 ,0.8,11.5,18.07, 0.35 ,1.15,26.20,26.47, 3.60 , 2.90 , 13.00 , 21.50 ,0.38,1,0,0,0,1,0.12,5025.4,0,44452 , 1.1 , 40.4 , 57.4 ,
4,2,Syrian Arab Republic,N/A,N/A,N/A,0,N/A,28.0, 0.25 ,5.0,22.0,24.78, 0.01 ,0.34,24.00,24.03, N/A , 6.90 , 7.40 , 13.70 ,N/A,N/A,0,1,0,0,N/A,N/A,1,5126 , 22.9 , 35.8 , 71.5 ,
1,4,"Taiwan, Rep. of China",5.0,86.0,0.40,0,1986,17.0, 0.11 ,5.0,40.0,3.83, 0.00 ,0.13,17.37,17.37, 2.00 , 1.80 , 5.10 , 12.10 ,N/A,1,0,0,0,0,N/A,N/A,0,37743 , 41.4 , N/A , 46.5 ,
2,1,Tajikistan,20.0,57.1,0.53,11000,1986,15.0, 0.05 ,8.0,13.0,0.13, 0.10 ,0.23,N/A,N/A, 10.50 , 0.80 , 2.50 , 18.22 ,N/A,N/A,0,1,1,1,N/A,N/A,0,2079 , 19.9 , 58.3 , 92.0 ,
